,wl,The new S language,Combinatorial ALgorithms,Compilers (dragon),Compilers (blue book),Computer Organization (red book),Topology (green book),Data and Computer Communications (yellow book)
239,619,0.0571650616455,0.0198882869873,0.720642180176,0.27336161377,0.722411328125,0.0801469331055,0.800185163574
240,620,0.057224,0.019888,0.7251,0.27357,0.72949,0.079806,0.80092
241,621,0.0573328527832,0.0198876651611,0.729336462402,0.273798686523,0.736278356934,0.0794941480713,0.801717969971
242,622,0.0574895625,0.0198876367187,0.733368828125,0.274043984375,0.7427925,0.0792095507813,0.802579179688
243,623,0.0576846315918,0.0198880706787,0.737160578613,0.274312280273,0.748972580566,0.0789398973389,0.80343692749
244,624,0.057908,0.019889,0.74067,0.27461,0.75475,0.078673,0.80422
245,625,0.0581593311768,0.019890791626,0.743914293213,0.274936098633,0.760147177734,0.0784077467041,0.804932150879
246,626,0.0584386210938,0.0198937382812,0.746911289063,0.275289296875,0.765187421875,0.0781438867188,0.805579296875
247,627,0.058742137085,0.0198973162842,0.74963883667,0.275647485352,0.769796171875,0.0778910203857,0.80615307373
248,628,0.059067,0.019901,0.75208,0.27599,0.77391,0.077659,0.80665
249,629,0.0594132086182,0.0199043996582,0.754243659668,0.2763178479,0.777541112061,0.0774470756836,0.807067646484
250,630,0.0597816914062,0.019907078125,0.75614421875,0.276634804688,0.780715351562,0.077253921875,0.8074071875
251,631,0.0601797059326,0.0199120554199,0.757885539551,0.276966502686,0.783639400635,0.0770746801758,0.807733564453
252,632,0.060615,0.019922,0.75957,0.27734,0.78652,0.076904,0.80811
253,633,0.0610910059814,0.0199366834717,0.76121428833,0.277761131592,0.78938614502,0.0767410979004,0.808541580811
254,634,0.0616113867188,0.0199554414062,0.762827773437,0.278235429687,0.792253828125,0.0765851328125,0.809027929687
255,635,0.0621721126709,0.0199696842041,0.76435324585,0.278762047119,0.795046833496,0.0764335593262,0.80951331665
256,636,0.06277,0.019971,0.76573,0.27934,0.79768,0.076284,0.80994
257,637,0.0634058018799,0.0199592266846,0.766967669678,0.279973427734,0.800169942627,0.0761360980225,0.810310635986
258,638,0.0640807851563,0.0199349882812,0.768078085938,0.280666328125,0.802533164062,0.0759898867188,0.810630898438
259,639,0.0648327728271,0.0199023343506,0.769091466064,0.281449160156,0.804792015381,0.0758412784424,0.810909710693
260,640,0.065697,0.019866,0.77004,0.28235,0.80697,0.075687,0.81116
261,641,0.0666745083008,0.0198262681885,0.770928634033,0.283371199951,0.809070905762,0.0755272230225,0.811381595459
262,642,0.0677619609375,0.0197835898438,0.771761835938,0.284511445312,0.811098125,0.0753629570312,0.811576210937
263,643,0.0689046274414,0.0197449852295,0.772549486084,0.285728668213,0.813046281738,0.0752077481689,0.811793321533
264,644,0.070047,0.019717,0.7733,0.28698,0.81491,0.075075,0.81208
265,645,0.0711850297852,0.0197008146973,0.7740187854,0.288261835938,0.81669376709,0.0749660214844,0.812439737549
266,646,0.0723177734375,0.0196968671875,0.774709726563,0.28957265625,0.81840265625,0.074881125,0.812870898437
267,647,0.073467840332,0.0196970202637,0.775371102295,0.290934433594,0.820055314941,0.0748128144531,0.813329749756
268,648,0.07466,0.019693,0.776,0.29237,0.82167,0.074753,0.81377
269,649,0.0758912150879,0.0196845561523,0.776598217773,0.293876005859,0.823250500488,0.0747025964355,0.814187644043
270,650,0.077158171875,0.019671859375,0.777166953125,0.29544796875,0.82479921875,0.0746627421875,0.814579609375
271,651,0.0784585095215,0.019661730957,0.777699682617,0.297068583984,0.82630854248,0.0746321135254,0.814951525879
272,652,0.079789,0.019661,0.77819,0.29872,0.82777,0.07461,0.81531
273,653,0.0811444467773,0.0196697174072,0.778640605469,0.30039609375,0.82918706543,0.0745964768066,0.815653569336
274,654,0.0825183203125,0.0196875039063,0.779055234375,0.30209078125,0.830563515625,0.0745921171875,0.8159815625
275,655,0.0839261323242,0.0197067752686,0.779426689453,0.303823066406,0.831895405273,0.0746059987793,0.816260375977
276,656,0.08538,0.01972,0.77975,0.30561,0.83318,0.074647,0.81646
277,657,0.0868696143799,0.0197267268066,0.78002277832,0.30744199707,0.834414938965,0.0747155344238,0.816578190918
278,658,0.0883803242188,0.019727,0.780243828125,0.3093059375,0.83559828125,0.0748111953125,0.816616953125
279,659,0.0898567386475,0.0197290388184,0.780479106445,0.311159838867,0.836773361816,0.0749299353027,0.816662834473
280,660,0.091242,0.019741,0.78079,0.31296,0.83798,0.075067,0.8168
281,661,0.0925233793945,0.0197626533203,0.781180693359,0.314696455078,0.839217836914,0.07522190271,0.817033890381
282,662,0.09369065625,0.0197931328125,0.781648359375,0.31636078125,0.840481171875,0.0753939179688,0.817362773437
283,663,0.0947176401367,0.0198248554688,0.782071367188,0.317921142578,0.84168887207,0.0755779229736,0.817693018799
284,664,0.095583,0.01985,0.78233,0.31935,0.84276,0.075769,0.81793
285,665,0.0962782794189,0.0198679598389,0.782419676514,0.320640450439,0.843690170898,0.0759656181641,0.818072056885
286,666,0.0968000039063,0.0198784570312,0.782345351562,0.321790664063,0.844480859375,0.0761666484375,0.818123242188
287,667,0.0971821585693,0.01988365979,0.782215054932,0.322837445068,0.845170014648,0.0763750722656,0.818147176514
288,668,0.097461,0.019886,0.78214,0.32382,0.8458,0.076594,0.81821
289,669,0.0976406486816,0.0198854432373,0.782123883057,0.324742414551,0.846371831055,0.0768237421875,0.818312346191
290,670,0.097724921875,0.0198820585938,0.782165351562,0.32560828125,0.846887109375,0.0770646484375,0.818452265625
291,671,0.0977049274902,0.0198722984619,0.782214910889,0.32641260498,0.847356557617,0.0773080341797,0.818601452637
292,672,0.097572,0.019853,0.78222,0.32715,0.84779,0.077546,0.81873
293,673,0.097333845459,0.0198246931152,0.782185031738,0.327824852295,0.848195046387,0.0777771546631,0.818839464111
294,674,0.096999484375,0.019788453125,0.7821159375,0.328441601563,0.8485784375,0.0780009257812,0.818932226563
295,675,0.0965925275879,0.0197524807129,0.782036101074,0.32902800415,0.848937648926,0.0782440860596,0.819026361084
